feature,coefficient,odds_ratio,absolute_coefficient
time_in_hospital,0.01874353681437753,1.018920299559714,0.01874353681437753
num_lab_procedures,0.009212957905857936,1.0092555278337665,0.009212957905857936
num_procedures,-0.027268080891549612,0.9731003369482374,0.027268080891549612
num_medications,0.0385388611355114,1.039291115606111,0.0385388611355114
number_outpatient,-0.003949768178627277,0.9960580218960006,0.003949768178627277
number_emergency,0.03381537537733064,1.0343936145669514,0.03381537537733064
number_inpatient,0.324088027614228,1.382769023620372,0.324088027614228
number_diagnoses,0.09433332242065079,1.0989259815447945,0.09433332242065079
race_AfricanAmerican,0.009524447533609901,1.0095699494294286,0.009524447533609901
race_Asian,0.029422340104820754,1.0298594535890244,0.029422340104820754
race_Caucasian,-0.02487956744254236,0.9754273781685839,0.02487956744254236
race_Hispanic,0.00999094980564423,1.0100410259752113,0.00999094980564423
race_Missing,-0.13958316076657004,0.8697206935573677,0.13958316076657004
race_Other,-0.1338137808390914,0.8747529451965765,0.1338137808390914
gender_Female,-0.1419628463043761,0.8676534924208327,0.1419628463043761
gender_Male,-0.10737592527921076,0.8981879579575948,0.10737592527921076
age_[0-10),-1.23874166112646,0.2897485905539057,1.23874166112646
age_[10-20),-0.281643379310157,0.7545427221041283,0.281643379310157
age_[20-30),0.2112123768894096,1.2351746497577358,0.2112123768894096
age_[30-40),0.16635836881522872,1.180996258125532,0.16635836881522872
age_[40-50),0.13608117213342816,1.1457748948128974,0.13608117213342816
age_[50-60),0.014984075413047266,1.0150968994881664,0.014984075413047266
age_[60-70),0.17986803988073924,1.1970593885991891,0.17986803988073924
age_[70-80),0.22979755298861554,1.2583452359089289,0.22979755298861554
age_[80-90),0.21362589416222785,1.2381593654925165,0.21362589416222785
age_[90-100),0.11911878855387784,1.126503726089338,0.11911878855387784
max_glu_serum_>200,0.008750580925652203,1.0087889791795417,0.008750580925652203
max_glu_serum_>300,-0.0035504161439193728,0.9964558791309924,0.0035504161439193728
max_glu_serum_Missing,-0.2158704269990432,0.8058397101786229,0.2158704269990432
max_glu_serum_Norm,-0.03866850938228885,0.9620695733303486,0.03866850938228885
A1Cresult_>7,-0.08082991853115176,0.9223505528414419,0.08082991853115176
